"from_airport";"to_airport";"departure_time";"arrival_time";"flight_number";"price"
"Milan";"Vienna";2017-07-27 18:18:00;2017-07-27 20:48:00;"FN343";5344
"London";"Milan";2017-07-27 20:45:00;2017-07-27 23:15:00;"FN356";5830
"Prague";"Milan";2017-07-27 08:16:00;2017-07-27 10:46:00;"FN363";10059
"Vienna";"Milan";2017-07-27 11:28:00;2017-07-27 13:58:00;"FN299";7163
"Prague";"London";2017-07-28 17:56:00;2017-07-28 20:26:00;"FN297";6783
"Vienna";"London";2017-07-28 15:37:00;2017-07-28 18:07:00;"FN367";6596
"Milan";"London";2017-07-28 13:29:00;2017-07-28 15:59:00;"FN373";6729
"London";"Prague";2017-07-28 14:35:00;2017-07-28 17:05:00;"FN277";15142
"Vienna";"Prague";2017-07-28 21:59:00;2017-07-29 00:29:00;"FN310";6858
"Milan";"Prague";2017-07-28 10:07:00;2017-07-28 12:37:00;"FN267";23335
"London";"Vienna";2017-07-28 06:52:00;2017-07-28 09:22:00;"FN338";13922
"Prague";"Vienna";2017-07-28 12:31:00;2017-07-28 15:01:00;"FN389";7372
"Milan";"Vienna";2017-07-28 18:18:00;2017-07-28 20:48:00;"FN343";10148
"London";"Milan";2017-07-28 20:45:00;2017-07-28 23:15:00;"FN356";1774
"Prague";"Milan";2017-07-28 08:16:00;2017-07-28 10:46:00;"FN363";10728
"Vienna";"Milan";2017-07-28 11:28:00;2017-07-28 13:58:00;"FN299";7191
"Prague";"London";2017-07-29 17:56:00;2017-07-29 20:26:00;"FN297";6496
"Vienna";"London";2017-07-29 15:37:00;2017-07-29 18:07:00;"FN367";9563
"Milan";"London";2017-07-29 13:29:00;2017-07-29 15:59:00;"FN373";11495
"London";"Prague";2017-07-29 14:35:00;2017-07-29 17:05:00;"FN277";5171
"Vienna";"Prague";2017-07-29 21:59:00;2017-07-30 00:29:00;"FN310";3158
"Milan";"Prague";2017-07-29 10:07:00;2017-07-29 12:37:00;"FN267";1433
"London";"Vienna";2017-07-29 06:52:00;2017-07-29 09:22:00;"FN338";3170
"Prague";"Vienna";2017-07-29 12:31:00;2017-07-29 15:01:00;"FN389";1934
"Milan";"Vienna";2017-07-29 18:18:00;2017-07-29 20:48:00;"FN343";6241
"London";"Milan";2017-07-29 20:45:00;2017-07-29 23:15:00;"FN356";6634
"Prague";"Milan";2017-07-29 08:16:00;2017-07-29 10:46:00;"FN363";8259
"Vienna";"Milan";2017-07-29 11:28:00;2017-07-29 13:58:00;"FN299";4020
"Prague";"London";2017-07-30 17:56:00;2017-07-30 20:26:00;"FN297";17788
"Vienna";"London";2017-07-30 15:37:00;2017-07-30 18:07:00;"FN367";3174
"Milan";"London";2017-07-30 13:29:00;2017-07-30 15:59:00;"FN373";2543
"London";"Prague";2017-07-30 14:35:00;2017-07-30 17:05:00;"FN277";10321
"Vienna";"Prague";2017-07-30 21:59:00;2017-07-31 00:29:00;"FN310";10182
"Milan";"Prague";2017-07-30 10:07:00;2017-07-30 12:37:00;"FN267";3444
"London";"Vienna";2017-07-30 06:52:00;2017-07-30 09:22:00;"FN338";5727
"Prague";"Vienna";2017-07-30 12:31:00;2017-07-30 15:01:00;"FN389";11954
"Milan";"Vienna";2017-07-30 18:18:00;2017-07-30 20:48:00;"FN343";3898
"London";"Milan";2017-07-30 20:45:00;2017-07-30 23:15:00;"FN356";8355
"Prague";"Milan";2017-07-30 08:16:00;2017-07-30 10:46:00;"FN363";7845
"Vienna";"Milan";2017-07-30 11:28:00;2017-07-30 13:58:00;"FN299";5982
"Prague";"London";2017-07-31 17:56:00;2017-07-31 20:26:00;"FN297";7655
"Vienna";"London";2017-07-31 15:37:00;2017-07-31 18:07:00;"FN367";22658
"Milan";"London";2017-07-31 13:29:00;2017-07-31 15:59:00;"FN373";2171
"London";"Prague";2017-07-31 14:35:00;2017-07-31 17:05:00;"FN277";2679
"Vienna";"Prague";2017-07-31 21:59:00;2017-08-01 00:29:00;"FN310";13210
"Milan";"Prague";2017-07-31 10:07:00;2017-07-31 12:37:00;"FN267";3242
"London";"Vienna";2017-07-31 06:52:00;2017-07-31 09:22:00;"FN338";3215
"Prague";"Vienna";2017-07-31 12:31:00;2017-07-31 15:01:00;"FN389";1605
"Milan";"Vienna";2017-07-31 18:18:00;2017-07-31 20:48:00;"FN343";6593
"London";"Milan";2017-07-31 20:45:00;2017-07-31 23:15:00;"FN356";12500
"Prague";"Milan";2017-07-31 08:16:00;2017-07-31 10:46:00;"FN363";2148
"Vienna";"Milan";2017-07-31 11:28:00;2017-07-31 13:58:00;"FN299";13890
"Prague";"London";2017-08-01 17:56:00;2017-08-01 20:26:00;"FN297";1189
"Vienna";"London";2017-08-01 15:37:00;2017-08-01 18:07:00;"FN367";2210
"Milan";"London";2017-08-01 13:29:00;2017-08-01 15:59:00;"FN373";7646
"London";"Prague";2017-08-01 14:35:00;2017-08-01 17:05:00;"FN277";4073
"Vienna";"Prague";2017-08-01 21:59:00;2017-08-02 00:29:00;"FN310";8267
"Milan";"Prague";2017-08-01 10:07:00;2017-08-01 12:37:00;"FN267";3280
"London";"Vienna";2017-08-01 06:52:00;2017-08-01 09:22:00;"FN338";7492
"Prague";"Vienna";2017-08-01 12:31:00;2017-08-01 15:01:00;"FN389";9843
"Milan";"Vienna";2017-08-01 18:18:00;2017-08-01 20:48:00;"FN343";2640
"London";"Milan";2017-08-01 20:45:00;2017-08-01 23:15:00;"FN356";8992
"Prague";"Milan";2017-08-01 08:16:00;2017-08-01 10:46:00;"FN363";1903
"Vienna";"Milan";2017-08-01 11:28:00;2017-08-01 13:58:00;"FN299";3995
"Prague";"London";2017-08-02 17:56:00;2017-08-02 20:26:00;"FN297";1949
"Vienna";"London";2017-08-02 15:37:00;2017-08-02 18:07:00;"FN367";10566
"Milan";"London";2017-08-02 13:29:00;2017-08-02 15:59:00;"FN373";12374
"London";"Prague";2017-08-02 14:35:00;2017-08-02 17:05:00;"FN277";4624
"Vienna";"Prague";2017-08-02 21:59:00;2017-08-03 00:29:00;"FN310";5480
"Milan";"Prague";2017-08-02 10:07:00;2017-08-02 12:37:00;"FN267";8306
"London";"Vienna";2017-08-02 06:52:00;2017-08-02 09:22:00;"FN338";5570
"Prague";"Vienna";2017-08-02 12:31:00;2017-08-02 15:01:00;"FN389";15451
"Milan";"Vienna";2017-08-02 18:18:00;2017-08-02 20:48:00;"FN343";7292
"London";"Milan";2017-08-02 20:45:00;2017-08-02 23:15:00;"FN356";3868
"Prague";"Milan";2017-08-02 08:16:00;2017-08-02 10:46:00;"FN363";4595
"Vienna";"Milan";2017-08-02 11:28:00;2017-08-02 13:58:00;"FN299";5975
"Prague";"London";2017-08-03 17:56:00;2017-08-03 20:26:00;"FN297";10694
"Vienna";"London";2017-08-03 15:37:00;2017-08-03 18:07:00;"FN367";9573
"Milan";"London";2017-08-03 13:29:00;2017-08-03 15:59:00;"FN373";3554
"London";"Prague";2017-08-03 14:35:00;2017-08-03 17:05:00;"FN277";4970
"Vienna";"Prague";2017-08-03 21:59:00;2017-08-04 00:29:00;"FN310";2775
"Milan";"Prague";2017-08-03 10:07:00;2017-08-03 12:37:00;"FN267";8465
"London";"Vienna";2017-08-03 06:52:00;2017-08-03 09:22:00;"FN338";3913
"Prague";"Vienna";2017-08-03 12:31:00;2017-08-03 15:01:00;"FN389";13563
"Milan";"Vienna";2017-08-03 18:18:00;2017-08-03 20:48:00;"FN343";11059
"London";"Milan";2017-08-03 20:45:00;2017-08-03 23:15:00;"FN356";7787
"Prague";"Milan";2017-08-03 08:16:00;2017-08-03 10:46:00;"FN363";7530
"Vienna";"Milan";2017-08-03 11:28:00;2017-08-03 13:58:00;"FN299";12873
"Prague";"London";2017-08-04 17:56:00;2017-08-04 20:26:00;"FN297";8274
"Vienna";"London";2017-08-04 15:37:00;2017-08-04 18:07:00;"FN367";6437
"Milan";"London";2017-08-04 13:29:00;2017-08-04 15:59:00;"FN373";10550
"London";"Prague";2017-08-04 14:35:00;2017-08-04 17:05:00;"FN277";5723
"Vienna";"Prague";2017-08-04 21:59:00;2017-08-05 00:29:00;"FN310";7370
"Milan";"Prague";2017-08-04 10:07:00;2017-08-04 12:37:00;"FN267";5815
"London";"Vienna";2017-08-04 06:52:00;2017-08-04 09:22:00;"FN338";11205
"Prague";"Vienna";2017-08-04 12:31:00;2017-08-04 15:01:00;"FN389";5168
"Milan";"Vienna";2017-08-04 18:18:00;2017-08-04 20:48:00;"FN343";10591
"London";"Milan";2017-08-04 20:45:00;2017-08-04 23:15:00;"FN356";8680
"Prague";"Milan";2017-08-04 08:16:00;2017-08-04 10:46:00;"FN363";2749
"Vienna";"Milan";2017-08-04 11:28:00;2017-08-04 13:58:00;"FN299";10785
"Prague";"London";2017-08-05 17:56:00;2017-08-05 20:26:00;"FN297";1308
"Vienna";"London";2017-08-05 15:37:00;2017-08-05 18:07:00;"FN367";4975
"Milan";"London";2017-08-05 13:29:00;2017-08-05 15:59:00;"FN373";8987
"London";"Prague";2017-08-05 14:35:00;2017-08-05 17:05:00;"FN277";6700
"Vienna";"Prague";2017-08-05 21:59:00;2017-08-06 00:29:00;"FN310";3641
"Milan";"Prague";2017-08-05 10:07:00;2017-08-05 12:37:00;"FN267";3362
"London";"Vienna";2017-08-05 06:52:00;2017-08-05 09:22:00;"FN338";12537
"Prague";"Vienna";2017-08-05 12:31:00;2017-08-05 15:01:00;"FN389";4643
"Milan";"Vienna";2017-08-05 18:18:00;2017-08-05 20:48:00;"FN343";3108
"London";"Milan";2017-08-05 20:45:00;2017-08-05 23:15:00;"FN356";11207
"Prague";"Milan";2017-08-05 08:16:00;2017-08-05 10:46:00;"FN363";9097
"Vienna";"Milan";2017-08-05 11:28:00;2017-08-05 13:58:00;"FN299";16124
"Prague";"London";2017-08-06 17:56:00;2017-08-06 20:26:00;"FN297";6636
"Vienna";"London";2017-08-06 15:37:00;2017-08-06 18:07:00;"FN367";5207
"Milan";"London";2017-08-06 13:29:00;2017-08-06 15:59:00;"FN373";3623
"London";"Prague";2017-08-06 14:35:00;2017-08-06 17:05:00;"FN277";5032
"Vienna";"Prague";2017-08-06 21:59:00;2017-08-07 00:29:00;"FN310";5454
"Milan";"Prague";2017-08-06 10:07:00;2017-08-06 12:37:00;"FN267";5114
"London";"Vienna";2017-08-06 06:52:00;2017-08-06 09:22:00;"FN338";5754
"Prague";"Vienna";2017-08-06 12:31:00;2017-08-06 15:01:00;"FN389";2390
"Milan";"Vienna";2017-08-06 18:18:00;2017-08-06 20:48:00;"FN343";16941
"London";"Milan";2017-08-06 20:45:00;2017-08-06 23:15:00;"FN356";3881
"Prague";"Milan";2017-08-06 08:16:00;2017-08-06 10:46:00;"FN363";3701
"Vienna";"Milan";2017-08-06 11:28:00;2017-08-06 13:58:00;"FN299";3963
"Prague";"London";2017-08-07 17:56:00;2017-08-07 20:26:00;"FN297";13938
"Vienna";"London";2017-08-07 15:37:00;2017-08-07 18:07:00;"FN367";11093
"Milan";"London";2017-08-07 13:29:00;2017-08-07 15:59:00;"FN373";17677
"London";"Prague";2017-08-07 14:35:00;2017-08-07 17:05:00;"FN277";2132
"Vienna";"Prague";2017-08-07 21:59:00;2017-08-08 00:29:00;"FN310";12616
"Milan";"Prague";2017-08-07 10:07:00;2017-08-07 12:37:00;"FN267";6534
"London";"Vienna";2017-08-07 06:52:00;2017-08-07 09:22:00;"FN338";5512
"Prague";"Vienna";2017-08-07 12:31:00;2017-08-07 15:01:00;"FN389";12924
"Milan";"Vienna";2017-08-07 18:18:00;2017-08-07 20:48:00;"FN343";17277
"London";"Milan";2017-08-07 20:45:00;2017-08-07 23:15:00;"FN356";10958
"Prague";"Milan";2017-08-07 08:16:00;2017-08-07 10:46:00;"FN363";17959
"Vienna";"Milan";2017-08-07 11:28:00;2017-08-07 13:58:00;"FN299";8063
"Prague";"London";2017-08-08 17:56:00;2017-08-08 20:26:00;"FN297";5071
"Vienna";"London";2017-08-08 15:37:00;2017-08-08 18:07:00;"FN367";4909
"Milan";"London";2017-08-08 13:29:00;2017-08-08 15:59:00;"FN373";6970
"London";"Prague";2017-08-08 14:35:00;2017-08-08 17:05:00;"FN277";1917
"Vienna";"Prague";2017-08-08 21:59:00;2017-08-09 00:29:00;"FN310";6643
"Milan";"Prague";2017-08-08 10:07:00;2017-08-08 12:37:00;"FN267";4177
"London";"Vienna";2017-08-08 06:52:00;2017-08-08 09:22:00;"FN338";19196
"Prague";"Vienna";2017-08-08 12:31:00;2017-08-08 15:01:00;"FN389";7968
"Milan";"Vienna";2017-08-08 18:18:00;2017-08-08 20:48:00;"FN343";7463
"London";"Milan";2017-08-08 20:45:00;2017-08-08 23:15:00;"FN356";9853
"Prague";"Milan";2017-08-08 08:16:00;2017-08-08 10:46:00;"FN363";5404
"Vienna";"Milan";2017-08-08 11:28:00;2017-08-08 13:58:00;"FN299";2912
"Prague";"London";2017-08-09 17:56:00;2017-08-09 20:26:00;"FN297";13390
"Vienna";"London";2017-08-09 15:37:00;2017-08-09 18:07:00;"FN367";8255
"Milan";"London";2017-08-09 13:29:00;2017-08-09 15:59:00;"FN373";2759
"London";"Prague";2017-08-09 14:35:00;2017-08-09 17:05:00;"FN277";3015
"Vienna";"Prague";2017-08-09 21:59:00;2017-08-10 00:29:00;"FN310";3751
"Milan";"Prague";2017-08-09 10:07:00;2017-08-09 12:37:00;"FN267";6607
"London";"Vienna";2017-08-09 06:52:00;2017-08-09 09:22:00;"FN338";8037
"Prague";"Vienna";2017-08-09 12:31:00;2017-08-09 15:01:00;"FN389";12694
"Milan";"Vienna";2017-08-09 18:18:00;2017-08-09 20:48:00;"FN343";4364
"London";"Milan";2017-08-09 20:45:00;2017-08-09 23:15:00;"FN356";8259
"Prague";"Milan";2017-08-09 08:16:00;2017-08-09 10:46:00;"FN363";7981
"Vienna";"Milan";2017-08-09 11:28:00;2017-08-09 13:58:00;"FN299";10490
"Prague";"London";2017-08-10 17:56:00;2017-08-10 20:26:00;"FN297";4585
"Vienna";"London";2017-08-10 15:37:00;2017-08-10 18:07:00;"FN367";1905
"Milan";"London";2017-08-10 13:29:00;2017-08-10 15:59:00;"FN373";14208
"London";"Prague";2017-08-10 14:35:00;2017-08-10 17:05:00;"FN277";7388
"Vienna";"Prague";2017-08-10 21:59:00;2017-08-11 00:29:00;"FN310";13234
"Milan";"Prague";2017-08-10 10:07:00;2017-08-10 12:37:00;"FN267";4066
"London";"Vienna";2017-08-10 06:52:00;2017-08-10 09:22:00;"FN338";8298
"Prague";"Vienna";2017-08-10 12:31:00;2017-08-10 15:01:00;"FN389";2889
"Milan";"Vienna";2017-08-10 18:18:00;2017-08-10 20:48:00;"FN343";6503
"London";"Milan";2017-08-10 20:45:00;2017-08-10 23:15:00;"FN356";3176
"Prague";"Milan";2017-08-10 08:16:00;2017-08-10 10:46:00;"FN363";5251
"Vienna";"Milan";2017-08-10 11:28:00;2017-08-10 13:58:00;"FN299";21222
"Prague";"London";2017-08-11 17:56:00;2017-08-11 20:26:00;"FN297";10471
"Vienna";"London";2017-08-11 15:37:00;2017-08-11 18:07:00;"FN367";4967
"Milan";"London";2017-08-11 13:29:00;2017-08-11 15:59:00;"FN373";5192
"London";"Prague";2017-08-11 14:35:00;2017-08-11 17:05:00;"FN277";7334
"Vienna";"Prague";2017-08-11 21:59:00;2017-08-12 00:29:00;"FN310";3639
"Milan";"Prague";2017-08-11 10:07:00;2017-08-11 12:37:00;"FN267";9857
"London";"Vienna";2017-08-11 06:52:00;2017-08-11 09:22:00;"FN338";5469
"Prague";"Vienna";2017-08-11 12:31:00;2017-08-11 15:01:00;"FN389";1117
"Milan";"Vienna";2017-08-11 18:18:00;2017-08-11 20:48:00;"FN343";4561
"London";"Milan";2017-08-11 20:45:00;2017-08-11 23:15:00;"FN356";4430
"Prague";"Milan";2017-08-11 08:16:00;2017-08-11 10:46:00;"FN363";10766
"Vienna";"Milan";2017-08-11 11:28:00;2017-08-11 13:58:00;"FN299";3326
"Prague";"London";2017-08-12 17:56:00;2017-08-12 20:26:00;"FN297";3435
"Vienna";"London";2017-08-12 15:37:00;2017-08-12 18:07:00;"FN367";2436
"Milan";"London";2017-08-12 13:29:00;2017-08-12 15:59:00;"FN373";13637
"London";"Prague";2017-08-12 14:35:00;2017-08-12 17:05:00;"FN277";2535
"Vienna";"Prague";2017-08-12 21:59:00;2017-08-13 00:29:00;"FN310";4615
"Milan";"Prague";2017-08-12 10:07:00;2017-08-12 12:37:00;"FN267";18098
"London";"Vienna";2017-08-12 06:52:00;2017-08-12 09:22:00;"FN338";15762
"Prague";"Vienna";2017-08-12 12:31:00;2017-08-12 15:01:00;"FN389";16811
"Milan";"Vienna";2017-08-12 18:18:00;2017-08-12 20:48:00;"FN343";3905
"London";"Milan";2017-08-12 20:45:00;2017-08-12 23:15:00;"FN356";12583
"Prague";"Milan";2017-08-12 08:16:00;2017-08-12 10:46:00;"FN363";13821
"Vienna";"Milan";2017-08-12 11:28:00;2017-08-12 13:58:00;"FN299";6268
"Prague";"London";2017-08-13 17:56:00;2017-08-13 20:26:00;"FN297";13299
"Vienna";"London";2017-08-13 15:37:00;2017-08-13 18:07:00;"FN367";4962
"Milan";"London";2017-08-13 13:29:00;2017-08-13 15:59:00;"FN373";10694
"London";"Prague";2017-08-13 14:35:00;2017-08-13 17:05:00;"FN277";8560
"Vienna";"Prague";2017-08-13 21:59:00;2017-08-14 00:29:00;"FN310";4389
"Milan";"Prague";2017-08-13 10:07:00;2017-08-13 12:37:00;"FN267";6427
"London";"Vienna";2017-08-13 06:52:00;2017-08-13 09:22:00;"FN338";3584
"Prague";"Vienna";2017-08-13 12:31:00;2017-08-13 15:01:00;"FN389";17229
"Milan";"Vienna";2017-08-13 18:18:00;2017-08-13 20:48:00;"FN343";8079
"London";"Milan";2017-08-13 20:45:00;2017-08-13 23:15:00;"FN356";1435
"Prague";"Milan";2017-08-13 08:16:00;2017-08-13 10:46:00;"FN363";3817
"Vienna";"Milan";2017-08-13 11:28:00;2017-08-13 13:58:00;"FN299";530
"Prague";"London";2017-08-14 17:56:00;2017-08-14 20:26:00;"FN297";8731
"Vienna";"London";2017-08-14 15:37:00;2017-08-14 18:07:00;"FN367";5445
"Milan";"London";2017-08-14 13:29:00;2017-08-14 15:59:00;"FN373";14293
"London";"Prague";2017-08-14 14:35:00;2017-08-14 17:05:00;"FN277";13010
"Vienna";"Prague";2017-08-14 21:59:00;2017-08-15 00:29:00;"FN310";20225
"Milan";"Prague";2017-08-14 10:07:00;2017-08-14 12:37:00;"FN267";3974
"London";"Vienna";2017-08-14 06:52:00;2017-08-14 09:22:00;"FN338";6186
"Prague";"Vienna";2017-08-14 12:31:00;2017-08-14 15:01:00;"FN389";18278
"Milan";"Vienna";2017-08-14 18:18:00;2017-08-14 20:48:00;"FN343";3374
"London";"Milan";2017-08-14 20:45:00;2017-08-14 23:15:00;"FN356";13226
"Prague";"Milan";2017-08-14 08:16:00;2017-08-14 10:46:00;"FN363";7108
"Vienna";"Milan";2017-08-14 11:28:00;2017-08-14 13:58:00;"FN299";5108
"Prague";"London";2017-08-15 17:56:00;2017-08-15 20:26:00;"FN297";11206
"Vienna";"London";2017-08-15 15:37:00;2017-08-15 18:07:00;"FN367";5989
"Milan";"London";2017-08-15 13:29:00;2017-08-15 15:59:00;"FN373";10283
"London";"Prague";2017-08-15 14:35:00;2017-08-15 17:05:00;"FN277";23512
"Vienna";"Prague";2017-08-15 21:59:00;2017-08-16 00:29:00;"FN310";5978
"Milan";"Prague";2017-08-15 10:07:00;2017-08-15 12:37:00;"FN267";14914
"London";"Vienna";2017-08-15 06:52:00;2017-08-15 09:22:00;"FN338";10470
"Prague";"Vienna";2017-08-15 12:31:00;2017-08-15 15:01:00;"FN389";11407
"Milan";"Vienna";2017-08-15 18:18:00;2017-08-15 20:48:00;"FN343";3701
"London";"Milan";2017-08-15 20:45:00;2017-08-15 23:15:00;"FN356";12720
"Prague";"Milan";2017-08-15 08:16:00;2017-08-15 10:46:00;"FN363";6269
"Vienna";"Milan";2017-08-15 11:28:00;2017-08-15 13:58:00;"FN299";10351
"Prague";"London";2017-08-16 17:56:00;2017-08-16 20:26:00;"FN297";3475
"Vienna";"London";2017-08-16 15:37:00;2017-08-16 18:07:00;"FN367";12481
"Milan";"London";2017-08-16 13:29:00;2017-08-16 15:59:00;"FN373";9246
"London";"Prague";2017-08-16 14:35:00;2017-08-16 17:05:00;"FN277";11599
"Vienna";"Prague";2017-08-16 21:59:00;2017-08-17 00:29:00;"FN310";16523
"Milan";"Prague";2017-08-16 10:07:00;2017-08-16 12:37:00;"FN267";16769
"London";"Vienna";2017-08-16 06:52:00;2017-08-16 09:22:00;"FN338";7784
"Prague";"Vienna";2017-08-16 12:31:00;2017-08-16 15:01:00;"FN389";10313
"Milan";"Vienna";2017-08-16 18:18:00;2017-08-16 20:48:00;"FN343";1680
"London";"Milan";2017-08-16 20:45:00;2017-08-16 23:15:00;"FN356";9768
"Prague";"Milan";2017-08-16 08:16:00;2017-08-16 10:46:00;"FN363";12811
"Vienna";"Milan";2017-08-16 11:28:00;2017-08-16 13:58:00;"FN299";9969
"Prague";"London";2017-08-17 17:56:00;2017-08-17 20:26:00;"FN297";8197
"Vienna";"London";2017-08-17 15:37:00;2017-08-17 18:07:00;"FN367";8099
"Milan";"London";2017-08-17 13:29:00;2017-08-17 15:59:00;"FN373";10283
"London";"Prague";2017-08-17 14:35:00;2017-08-17 17:05:00;"FN277";8392
"Vienna";"Prague";2017-08-17 21:59:00;2017-08-18 00:29:00;"FN310";13294
"Milan";"Prague";2017-08-17 10:07:00;2017-08-17 12:37:00;"FN267";6092
"London";"Vienna";2017-08-17 06:52:00;2017-08-17 09:22:00;"FN338";8624
"Prague";"Vienna";2017-08-17 12:31:00;2017-08-17 15:01:00;"FN389";6116
"Milan";"Vienna";2017-08-17 18:18:00;2017-08-17 20:48:00;"FN343";12259
"London";"Milan";2017-08-17 20:45:00;2017-08-17 23:15:00;"FN356";7798
"Prague";"Milan";2017-08-17 08:16:00;2017-08-17 10:46:00;"FN363";15990
"Vienna";"Milan";2017-08-17 11:28:00;2017-08-17 13:58:00;"FN299";6358
"Prague";"London";2017-08-18 17:56:00;2017-08-18 20:26:00;"FN297";6576
"Vienna";"London";2017-08-18 15:37:00;2017-08-18 18:07:00;"FN367";8347
"Milan";"London";2017-08-18 13:29:00;2017-08-18 15:59:00;"FN373";13494
"London";"Prague";2017-08-18 14:35:00;2017-08-18 17:05:00;"FN277";2807
"Vienna";"Prague";2017-08-18 21:59:00;2017-08-19 00:29:00;"FN310";3789
"Milan";"Prague";2017-08-18 10:07:00;2017-08-18 12:37:00;"FN267";6427
"London";"Vienna";2017-08-18 06:52:00;2017-08-18 09:22:00;"FN338";2208
"Prague";"Vienna";2017-08-18 12:31:00;2017-08-18 15:01:00;"FN389";11445
"Milan";"Vienna";2017-08-18 18:18:00;2017-08-18 20:48:00;"FN343";6953
"London";"Milan";2017-08-18 20:45:00;2017-08-18 23:15:00;"FN356";4964
"Prague";"Milan";2017-08-18 08:16:00;2017-08-18 10:46:00;"FN363";6404
"Vienna";"Milan";2017-08-18 11:28:00;2017-08-18 13:58:00;"FN299";11359
"Prague";"London";2017-08-19 17:56:00;2017-08-19 20:26:00;"FN297";7678
"Vienna";"London";2017-08-19 15:37:00;2017-08-19 18:07:00;"FN367";9483
"Milan";"London";2017-08-19 13:29:00;2017-08-19 15:59:00;"FN373";5371
"London";"Prague";2017-08-19 14:35:00;2017-08-19 17:05:00;"FN277";2311
"Vienna";"Prague";2017-08-19 21:59:00;2017-08-20 00:29:00;"FN310";3858
"Milan";"Prague";2017-08-19 10:07:00;2017-08-19 12:37:00;"FN267";11747
"London";"Vienna";2017-08-19 06:52:00;2017-08-19 09:22:00;"FN338";8395
"Prague";"Vienna";2017-08-19 12:31:00;2017-08-19 15:01:00;"FN389";7324
"Milan";"Vienna";2017-08-19 18:18:00;2017-08-19 20:48:00;"FN343";14140
"London";"Milan";2017-08-19 20:45:00;2017-08-19 23:15:00;"FN356";2654
"Prague";"Milan";2017-08-19 08:16:00;2017-08-19 10:46:00;"FN363";8411
"Vienna";"Milan";2017-08-19 11:28:00;2017-08-19 13:58:00;"FN299";3582
"Prague";"London";2017-08-20 17:56:00;2017-08-20 20:26:00;"FN297";7250
"Vienna";"London";2017-08-20 15:37:00;2017-08-20 18:07:00;"FN367";6448
"Milan";"London";2017-08-20 13:29:00;2017-08-20 15:59:00;"FN373";2481
"London";"Prague";2017-08-20 14:35:00;2017-08-20 17:05:00;"FN277";5837
"Vienna";"Prague";2017-08-20 21:59:00;2017-08-21 00:29:00;"FN310";2507
"Milan";"Prague";2017-08-20 10:07:00;2017-08-20 12:37:00;"FN267";3114
"London";"Vienna";2017-08-20 06:52:00;2017-08-20 09:22:00;"FN338";6810
"Prague";"Vienna";2017-08-20 12:31:00;2017-08-20 15:01:00;"FN389";6245
"Milan";"Vienna";2017-08-20 18:18:00;2017-08-20 20:48:00;"FN343";2226
"London";"Milan";2017-08-20 20:45:00;2017-08-20 23:15:00;"FN356";9734
"Prague";"Milan";2017-08-20 08:16:00;2017-08-20 10:46:00;"FN363";3382
"Vienna";"Milan";2017-08-20 11:28:00;2017-08-20 13:58:00;"FN299";16786
"Prague";"London";2017-08-21 17:56:00;2017-08-21 20:26:00;"FN297";3486
"Vienna";"London";2017-08-21 15:37:00;2017-08-21 18:07:00;"FN367";7534
"Milan";"London";2017-08-21 13:29:00;2017-08-21 15:59:00;"FN373";7281
"London";"Prague";2017-08-21 14:35:00;2017-08-21 17:05:00;"FN277";7617
"Vienna";"Prague";2017-08-21 21:59:00;2017-08-22 00:29:00;"FN310";4605
"Milan";"Prague";2017-08-21 10:07:00;2017-08-21 12:37:00;"FN267";12473
"London";"Vienna";2017-08-21 06:52:00;2017-08-21 09:22:00;"FN338";13537
"Prague";"Vienna";2017-08-21 12:31:00;2017-08-21 15:01:00;"FN389";3549
"Milan";"Vienna";2017-08-21 18:18:00;2017-08-21 20:48:00;"FN343";12607
"London";"Milan";2017-08-21 20:45:00;2017-08-21 23:15:00;"FN356";12600
"Prague";"Milan";2017-08-21 08:16:00;2017-08-21 10:46:00;"FN363";2961
"Vienna";"Milan";2017-08-21 11:28:00;2017-08-21 13:58:00;"FN299";5567
"Prague";"London";2017-08-22 17:56:00;2017-08-22 20:26:00;"FN297";11463
"Vienna";"London";2017-08-22 15:37:00;2017-08-22 18:07:00;"FN367";19331
"Milan";"London";2017-08-22 13:29:00;2017-08-22 15:59:00;"FN373";14055
"London";"Prague";2017-08-22 14:35:00;2017-08-22 17:05:00;"FN277";4847
"Vienna";"Prague";2017-08-22 21:59:00;2017-08-23 00:29:00;"FN310";12859
"Milan";"Prague";2017-08-22 10:07:00;2017-08-22 12:37:00;"FN267";16123
"London";"Vienna";2017-08-22 06:52:00;2017-08-22 09:22:00;"FN338";20547
"Prague";"Vienna";2017-08-22 12:31:00;2017-08-22 15:01:00;"FN389";6414
"Milan";"Vienna";2017-08-22 18:18:00;2017-08-22 20:48:00;"FN343";4893
"London";"Milan";2017-08-22 20:45:00;2017-08-22 23:15:00;"FN356";7756
"Prague";"Milan";2017-08-22 08:16:00;2017-08-22 10:46:00;"FN363";6658
"Vienna";"Milan";2017-08-22 11:28:00;2017-08-22 13:58:00;"FN299";7546
"Prague";"London";2017-08-23 17:56:00;2017-08-23 20:26:00;"FN297";10250
"Vienna";"London";2017-08-23 15:37:00;2017-08-23 18:07:00;"FN367";7832
"Milan";"London";2017-08-23 13:29:00;2017-08-23 15:59:00;"FN373";2387
"London";"Prague";2017-08-23 14:35:00;2017-08-23 17:05:00;"FN277";6753
"Vienna";"Prague";2017-08-23 21:59:00;2017-08-24 00:29:00;"FN310";11247
